name,link
အစားပလုံး,https://www.foodpanda.com.mm/restaurant/e60r/acaa-plun
Sunny Healthy Juice,https://www.foodpanda.com.mm/restaurant/o7fl/sunny-healthy-juice
SH Bakery Yangon,https://www.foodpanda.com.mm/restaurant/y6fs/sh-bakery-yangon
Kurokawa Japanese Restaurant,https://www.foodpanda.com.mm/restaurant/r3uh/kurokawa-japanese-restaurant
HAEUNDAE Korean Restaurant,https://www.foodpanda.com.mm/restaurant/h5fj/haeundae-korean-restaurant
GUGUU TEA (1),https://www.foodpanda.com.mm/restaurant/kga5/guguu-tea-1
PIZZA 87,https://www.foodpanda.com.mm/restaurant/f6nj/pizza-87
Lok Lok BBQ,https://www.foodpanda.com.mm/restaurant/n5ds/lok-lok-bbq
Test Myanmar Account,https://www.foodpanda.com.mm/restaurant/t6uc/test-myanmar-account
The Lounge Resturant,https://www.foodpanda.com.mm/restaurant/c6wo/the-lounge-resturant
ကောင်းဆုလာဘ် ရှမ်းအစားအစာ,https://www.foodpanda.com.mm/restaurant/g5ys/keaang-chulaabh-r-m-acaa-acaa
Aurora,https://www.foodpanda.com.mm/restaurant/kb67/aurora
You ( U Hla Thein ),https://www.foodpanda.com.mm/restaurant/x0mp/you-u-hla-thein
WAKE n’ BAKE (South Okkalapa) (pandago),https://www.foodpanda.com.mm/restaurant/lk2u/wake-n-bake-south-okkalapa-pandago
Agora Food House,https://www.foodpanda.com.mm/restaurant/b3ua/agora-food-house
Beer Village,https://www.foodpanda.com.mm/restaurant/d19k/beer-village
Nancy Curry,https://www.foodpanda.com.mm/restaurant/t3np/nancy-curry
19 Street Shan Noodle,https://www.foodpanda.com.mm/restaurant/m1oq/19-street-shan-noodle
Lay Nhyo Shin,https://www.foodpanda.com.mm/restaurant/t5rs/lay-nhyo-shin
ဟန်ကြီးသူ (မာလာရှမ်းကော),https://www.foodpanda.com.mm/restaurant/w8oo/hn-k-ii-suu-maalaar-m-keaa
